Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,52.959999,53.163502,52.400002,52.630001,52.179558,3805490
2022-02-24,53.490002,53.709999,50.680000,51.590000,51.148457,7017532
2022-02-25,52.860001,54.340000,52.779999,54.209999,53.746033,5797722
2022-02-28,52.169998,53.330002,51.630001,52.389999,51.941608,8833744
2022-03-01,52.200001,52.950001,51.293201,51.770000,51.326916,10689738
2022-03-02,54.490002,55.119999,54.160000,54.619999,54.152523,9763061
2022-03-03,52.849998,53.200001,51.182701,51.349998,50.910511,6765820
2022-03-04,50.200001,50.369999,48.270000,49.389999,48.967285,8464598
2022-03-07,52.200001,52.509998,50.700001,51.560001,51.118713,8597885
2022-03-08,53.029999,53.799999,51.240002,52.939999,52.486900,8842615
2022-03-09,52.750000,53.000000,51.459999,51.709999,51.267429,6690657
2022-03-10,51.619999,51.970001,51.090000,51.689999,51.247601,4356648
2022-03-11,51.320000,51.740002,50.770000,50.930000,50.494106,3223905
2022-03-14,50.595001,52.209999,49.660000,49.959999,49.532406,4286894
2022-03-15,49.669998,50.669998,49.080002,50.349998,49.919067,5137068
2022-03-16,50.200001,50.389999,49.529999,50.230000,49.800098,4438390
2022-03-17,50.900002,51.889999,50.630001,51.869999,51.426060,4129320
2022-03-18,50.869999,51.439999,50.380001,51.160000,50.722137,4219642
2022-03-21,52.700001,53.509998,52.680000,53.439999,52.982624,6035040
2022-03-22,53.689999,53.689999,52.959999,53.070000,52.615791,3774836
2022-03-23,54.480000,55.150002,54.321701,54.740002,54.271500,6422804
2022-03-24,55.200001,55.490002,54.700001,55.020000,54.549103,3481585
2022-03-25,54.970001,55.930000,54.950001,55.590000,55.114223,3382397
2022-03-28,54.639999,54.730000,53.840000,53.980000,53.518002,4470739
2022-03-29,53.380001,53.584999,52.720001,53.450001,52.992538,4367057
2022-03-30,54.990002,55.650002,54.950001,55.610001,55.134052,6248280
2022-03-31,55.419998,55.759998,54.919998,54.930000,54.459873,4847557
